kategorije,naslov,ocena,stevilo_glasov,avtor,lestvica,starost,stevilo_strani,mesec,datum,zaloznik,drzava,jezik
"['Children's Fiction', 'Children's General Story Books', 'School Stories', 'Death & Bereavement', 'Drugs & Addiction', 'Relationships']",Looking for Alaska,3.98,1457202,John Green,"26,157",12-17,240,Mar,2005,Penguin Putnam Inc,United States,English

"['Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Vampire Academy 10th Anniversary Edition,4.11,622401,Richelle Mead,"25,520",12+,512,Dec,2016,Penguin Putnam Inc,United States,English

"['Fantasy', 'Fantasy Books', 'Children's Fiction', 'Fantasy Books for Kids']","Konosuba: God's Blessing on This Wonderful World!, Vol. 8 (light novel)",4.19,521,Kurone Mishima,"60,432",12-15,224,Apr,2019,"Little, Brown & Company",United States,English

"['Primary & Middle Schools', 'Primary & Middle Schools', 'Mathematics & Numeracy', 'Study & Revision Guides']",New KS2 Maths Targeted Question Book - Year 5,3.82,17,CGP Books,"9,965",9+,108,Dec,2021,Coordination Group Publications Ltd (CGP),United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Graphic Novels']",Scott Pilgrim Color Hardcover Volume 4: Scott Pilgrim Gets it Together,4.31,39839,Bryan Lee O'Malley,"25,654",12-17,208,Nov,2013,"Oni Press,US",United States,English

"['Technology & Engineering', 'Children's Fiction', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Romance Books for Teenagers', 'School Stories']",Gallagher Girls: Only The Good Spy Young : Book 4,4.29,64828,Ally Carter,"13,441",12-17,320,Feb,2015,Hachette Children's Group,United Kingdom,English

"['Graphic Novel & Manga Artwork', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Cartoons & Comic Strips', 'Children's Fiction', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix and Son : Album 27,3.81,5655,Albert Uderzo,"53,953",11+,48,Mar,2003,"Little, Brown Book Group",United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Blue Moon,3.61,94198,Alyson Noel,"25,309",12-17,384,Mar,2010,Pan Macmillan,United Kingdom,English

['Mathematics & Numeracy'],Grade 6 Geometry & Measurement,3.91,11,Kumon,"24,773",12-17,80,Jun,2009,"Kumon Publishing North America, Inc",United States,English

"['Classic Books for Children', 'Adventure Books for Kids']",Oxford Children's Classics: World of Adventure box set,5,2,Mark Twain,"26,264",12-17,1248,Nov,2014,Oxford University Press,United Kingdom,English

"['Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']","The Lion, the Witch, and the Wardrobe: Collector's Edition",4.23,2580944,Pauline Baynes,"26,562",12-17,208,Aug,2011,Zondervan,United States,English

"['Children's Fiction', 'Romance Books for Teenagers']",Just One Year,3.88,42929,Gayle Forman,"26,248",12+,352,Nov,2013,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Romance Books for Teenagers', 'Family', 'Funny Books for Kids', 'School Stories']",All That Glitters,4.05,4846,Holly Smale,"26,105",9-12,464,Aug,2015,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'Society & Social Issues', 'Family Issues', 'Drugs & Addiction']",The Spectacular Now,3.51,42038,Tim Tharp,"59,356",12-17,304,Jul,2013,Random House USA Inc,United States,English

"['Children's General Story Books', 'Horror & Ghost', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Self-Esteem', 'Relationships']",Last Sacrifice : A Vampire Academy Novel,4.38,277539,Richelle Mead,"37,025",12-17,608,Nov,2011,Razorbill,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Infinity : Number 1 in series,4.03,41363,Sherrilyn Kenyon,"25,680",12-17,320,May,2011,"Little, Brown Book Group",United Kingdom,English

"['Romance', 'Romance Books', 'Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Family', 'Funny Books for Kids']",Ramona the Pest,4.07,65074,Jacqueline Rogers,"72,416",9-12,240,Apr,2022,Harpercollins Publishers Inc,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Thriller Books for Children', 'Mystery Books for Kids', 'Sci Fi Books for Kids']",SLATED Trilogy: Slated : Book 1,4.07,29896,Teri Terry,"26,141",12-17,448,Jan,2015,Hachette Children's Group,United Kingdom,English

"['Teaching Of A Specific Subject', 'Teaching Of A Specific Subject', 'Teachers' Classroom Resources & Material', 'Teachers' Classroom Resources & Material', 'Physics Books', 'Physics Books for Kids']",Physics for the IB Diploma Coursebook,4.44,9,K. A. Tsokos,"25,951",12-17,566,Jul,2014,Cambridge University Press,United Kingdom,English

"['Psychology', 'Teaching Resources & Education', 'Teaching Resources & Education', 'Memory Improvement & Thinking Techniques', 'General Study Books']",Mind Maps for Kids : Study Skills,4.25,20,Tony Buzan,"25,486",9-12,128,Mar,2004,HarperCollins Publishers,United Kingdom,English

"['Fantasy', 'Fantasy Books', 'Funny Books & Stories', 'Children's Fiction', 'Fantasy Books for Kids', 'Funny Books for Kids']","That Time I Got Reincarnated as a Slime, Vol. 6 (light novel)",4.55,1539,Mitz Vah,"8,753",12-15,288,Aug,2019,"Little, Brown & Company",United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Children's General Story Books']","Bungo Stray Dogs, Vol. 15",4.63,1369,Sango Harukawa,"3,478",12-15,192,Jun,2020,"Little, Brown & Company",United States,English

"['Primary & Middle Schools', 'Primary & Middle Schools', 'Teaching Of A Specific Subject', 'Teaching Of A Specific Subject', 'Children's Fiction', 'Traditional', 'Citizenship & Social Education']","A Child's Introduction To Greek Mythology : The Stories of the Gods, Goddesses, Heroes, Monsters, and Other Mythical Creatures",4.38,152,Meredith Hamilton,"26,235",12-17,96,Jun,2011,Black Dog & Leventhal Publishers Inc,United States,English

"['Psychology', 'Child & Developmental Psychology', 'Physiological & Neuro-psychology, Biopsychology', 'Cognition & Cognitive Psychology', 'Perception', 'Occupational Therapy', 'Personal Development', 'Popular Psychology', 'Family Issues']",Living Sensationally : Understanding Your Senses,3.74,114,Winnie Dunn,"26,833",12-17,216,May,2009,Jessica Kingsley Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Family', 'Historical']",Listen to the Moon,4.33,2953,Michael Morpurgo,"67,949",9+,448,Aug,2015,HarperCollins Publishers,United Kingdom,English

"['Ballet & Dance', 'Children's Sports Books', 'Encyclopaedias', 'Children's Health Books']",The Ballet Book,3.99,82,Darcey Bussell,"65,333",9-12,72,Apr,2006,DK,,English

['Funny Books for Kids'],Awful Auntie,4.16,11120,Nitin Ganatra,"92,043",9+,,Jan,2015,HarperCollins Publishers,United Kingdom,English

"['Horror & Ghost', 'Romance Books for Teenagers']",The Ghost Bride,3.8,30041,Yangsze Choo,"12,990",12-17,400,Aug,2013,Hot Key Books,United Kingdom,English

"['Language Teaching & Learning Material & Coursework', 'Children's Foreign Language Books']",Tricolore Total 1,4,4,Michael Spencer,"26,389",12-17,176,Nov,2014,Oxford University Press,United Kingdom,English

"['Contemporary Fiction', 'Science Fiction', 'Science Fiction']",Doctor Who: I Am a Dalek,3.76,1662,Gareth Roberts,"26,358",12-17,112,Jul,2006,Ebury Publishing,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Family', 'Funny Books for Kids']",Look into my eyes,4.22,7545,Lauren Child,"26,731",9+,400,Aug,2012,HarperCollins Publishers,United Kingdom,English

"['Contemporary Fiction', 'Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Silence,4.08,272112,Becca Fitzpatrick,"51,364",12-17,464,Jun,2012,Simon & Schuster Ltd,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Fantasy Books for Kids', 'Family', 'Society & Social Issues', 'Death & Bereavement']",Before I Fall Enhanced Edition,3.89,327608,Lauren Oliver,"26,091",12-17,544,Jun,2021,HarperCollins Publishers Inc,United States,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Graphic Novels: Literary & Memoirs', 'Graphic Novels: Literary & Memoirs', 'Graphic Novels']","Yotsuba&!, Vol. 13",4.62,1409,Kiyohiko Azuma,"16,056",9-12,224,May,2016,"Little, Brown & Company",United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids', 'Family Issues']",Darke,4.24,28490,Mark Zug,"26,637",9-12,656,May,2012,HarperCollins Publishers Inc,,English

"['Graphic Novels: Manga', 'Graphic Novels: Manga', 'Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids']","Log Horizon, Vol. 1 (light novel) : The Beginning of Another World",4.13,1480,Kazuhiro Hara,"25,864",12-15,224,Apr,2015,"Little, Brown & Company",United States,English

"['Children's General Story Books', 'Fantasy Books for Kids']",The Power of Five: Oblivion,4.26,7450,Anthony Horowitz,"24,969",12-17,672,Jul,2013,Walker Books Ltd,United Kingdom,English

"['Science Fiction', 'Science Fiction', 'Anthologies', 'Poetry Books for Kids', 'Children's General Story Books', 'Traditional', 'Jokes & Humour', 'English Literature']",A Children's Treasury of Milligan : Classic Stories and Poems by Spike Milligan,4.43,314,Spike Milligan,"25,561",9+,208,Sep,2006,Ebury Publishing,United Kingdom,English

"['Children's General Story Books', 'Romance Books for Teenagers', 'Family', 'Family Issues']",Chocolate Box Girls: Cherry Crush,3.98,8649,Cathy Cassidy,"27,431",9-12,304,Sep,2011,Penguin Random House Children's UK,United Kingdom,English

"['Contemporary Fiction', 'Children's Fiction', 'Children's General Story Books', 'Family', 'Funny Books for Kids']",Superfudge,4,63078,Judy Blume,"26,350",18+,192,Jan,2004,Penguin Putnam Inc,United States,English

"['Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Traditional', 'School Stories']",Magisterium: The Iron Trial,3.95,71690,Holly Black,"26,881",12-17,320,Jul,2015,Penguin Random House Children's UK,United Kingdom,English

['Adventure Books for Kids'],Amazon Adventure,3.92,1116,Willard Price,"26,085",9-12,336,Jun,2012,Penguin Random House Children's UK,United Kingdom,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",Shadowland,3.66,81892,Alyson Noel,"25,920",12-17,368,Sep,2010,Pan Macmillan,United Kingdom,English

"['Contemporary Fiction', 'Fantasy', 'Fantasy Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Family', 'Funny Books for Kids']",Spellslinger 2: Shadowblack : Book Two in the page-turning new fantasy series,4.12,8425,SEBASTIEN DE CASTELL,"15,500",,368,May,2018,Hot Key Books,United Kingdom,English

"['Children's General Story Books', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Beast Quest: Kaymon the Gorgon Hound : Series 3 Book 4,4.18,574,Adam Blade,"26,934",12-17,144,Jun,2015,Hachette Children's Group,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Horror & Ghost', 'Funny Books for Kids']",The 12 Screams of Christmas (Goosebumps Most Wanted Special Edition ,4.09,679,"R,L Stine","24,140",9-12,192,Sep,2014,Scholastic US,United States,English

"['Children's Fiction', 'Classic Books for Children', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Historical', 'Family Issues']",These Happy Golden Years,4.2,72114,Laura Ingalls Wilder,"17,284",9-12,304,Jun,2011,HarperCollins Publishers Inc,United States,English

"['Thriller Books for Children', 'Fantasy Books for Kids', 'Sports Stories', 'Historical']","The Way of the Dragon (Young Samurai, Book 3)",4.38,4322,Chris Bradford,"61,554",12-17,448,Apr,2010,Penguin Random House Children's UK,United Kingdom,English

"['Children's Fiction', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Rainbow Magic: Alyssa the Snow Queen Fairy : Special,4.38,412,Georgie Ripper,"48,150",12-17,176,Sep,2021,Hachette Children's Group,United Kingdom,English

"['Children's Fiction', 'Mystery Books for Kids', 'Horror & Ghost', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'Family']",The Retribution of Mara Dyer : Volume 3,4.07,56067,Michelle Hodkin,"26,619",12-17,480,Nov,2014,Simon & Schuster Books for Young Readers,,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers']",These Broken Stars,3.9,68032,Amie Kaufman,"26,712",12-17,410,Dec,2014,Disney Publishing Worldwide,United States,English

"['Non-Fiction', 'English Language', 'Children's Reference Books', 'Dictionaries for Kids']",Scholastic Dictionary of Idioms,4.19,259,Marvin Terban,"26,400",9-12,304,Jul,2006,Scholastic US,United States,English

"['Children's Fiction', 'Children's General Story Books', 'Adventure Books for Kids', 'Family', 'Funny Books for Kids']",Otherwise Known as Sheila the Great,3.95,40004,Judy Blume,"26,715",9+,208,Mar,2014,Pan Macmillan,United Kingdom,English

"['Historical Crime', 'Historical Crime', 'Thriller Books', 'Thrillers', 'Horror', 'Horror', 'Historical Fiction', 'Mystery Books for Kids', 'Horror & Ghost', 'Historical']",Stalking Jack the Ripper,3.97,122155,James Patterson,"11,891",12-15,360,May,2018,"Little, Brown & Company",United States,English

"['Sci Fi Books for Kids', 'Fantasy Books for Kids', 'Romance Books for Teenagers', 'People & Places']",Night Star,3.8,52029,Alyson Noel,"26,652",13+,320,Mar,2011,Pan Macmillan,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Family', 'Funny Books for Kids', 'English Language: Reading Schemes', 'Family Issues']",Amelia Bedelia Chapter Book 10-Book Box Set,4.53,49,Lynne Avril,"26,684",9-12,1600,Dec,2016,HarperCollins Publishers Inc,United States,English

"['Children's Fiction', 'Classic Books for Children', 'Adventure Books for Kids', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",The Indian in the Cupboard,3.92,102924,Lynne Reid Banks,"26,439",12-17,240,Mar,2010,HarperCollins Publishers,United Kingdom,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Graphic Novels: History & Criticism', 'Children's Fiction', 'Funny Books for Kids', 'Graphic Novels']",Asterix: Asterix and Caesar's Gift : Album 21,4.13,7023,Albert Uderzo,"27,517",9-12,48,Nov,2005,"Little, Brown Book Group",United Kingdom,English

['Funny Books for Kids'],Danger is Still Everywhere: Beware of the Dog (Danger is Everywhere book 2),4.37,304,Chris Judge,"26,730",9-12,224,Aug,2015,Penguin Random House Children's UK,United Kingdom,English

"['Children's General Story Books', 'Historical', 'Natural History Books for Children', 'Wildlife', 'Science', 'Children's Reference Books', 'General Reference']",The Great Big Book of Irish Wildlife : Through the Seasons,4.75,4,Barry Reynolds,"27,749",12-15,80,Dec,2018,O'Brien Press Ltd,Ireland,English

"['Non-Fiction', 'Science', 'Mathematics & Numeracy', 'Sciences']",The Boy Who Loved Math : The Improbable Life of Paul Erdos,4.19,3059,Leuyen Pham,"26,958",12-17,48,Jun,2013,Roaring Brook Press,United States,English

"['Drawing', 'Comic Book & Cartoon Art', 'Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Classic Books for Children', 'Adventure Books for Kids', 'Mystery Books for Kids', 'Funny Books for Kids', 'Graphic Novels']",Prisoners of the Sun,4.23,14264,Herge,"46,700",9-12,64,Sep,2012,HarperCollins Publishers,United Kingdom,English

"['Children's Fiction', 'Children's General Story Books', 'Romance Books for Teenagers', 'School Stories', 'Family Issues']",Two Boys Kissing,4.08,45777,David Levithan,"26,416",12-17,256,Mar,2014,HarperCollins Publishers,,English

"['Graphic Novels, Anime & Manga', 'Graphic Novels, Anime & Manga', 'Children's Fiction', 'Fantasy Books for Kids', 'Funny Books for Kids']","So I'm a Spider, So What?, Vol. 9 (light novel)",4.51,1261,Okina Baba,"9,081",12-15,272,Sep,2020,"Little, Brown & Company",United States,English

"['Adventure Books for Kids', 'Thriller Books for Children', 'Horror & Ghost', 'Sci Fi Books for Kids', 'Fantasy Books for Kids']",Tunnels of Blood,4.14,36369,Darren Shan,"67,793",9+,176,Nov,2000,HarperCollins Publishers,United Kingdom,English
